Topics,count,clean_tag_list,standard_tag_list,platform,tags
"['array', 'two-pointers', 'string', 'simulation']",1,"['array', 'two-pointers', 'string', 'simulation']","['array', 'two-pointers', 'string', 'simulation']",leetcode,
"['array', 'breadth-first-search', 'sorting', 'heap-priority-queue', 'matrix']",1,"['array', 'breadth-first-search', 'sorting', 'heap-priority-queue', 'matrix']","['array', 'breadth-first-search', 'sorting', 'heap-priority-queue', 'matrix']",leetcode,
"['linked-list', 'two-pointers', 'stack']",1,"['linked-list', 'two-pointers', 'stack']","['linked-list', 'two-pointers', 'stack']",leetcode,
"['array', 'dynamic-programming', 'stack', 'graph', 'monotonic-stack', 'shortest-path']",1,"['array', 'dynamic-programming', 'stack', 'graph', 'monotonic-stack', 'shortest-path']","['array', 'dynamic-programming', 'stack', 'graph', 'monotonic-stack', 'shortest-path']",leetcode,
"['array', 'dynamic-programming', 'depth-first-search', 'breadth-first-search', 'matrix']",1,"['array', 'dynamic-programming', 'depth-first-search', 'breadth-first-search', 'matrix']","['array', 'dynamic-programming', 'depth-first-search', 'breadth-first-search', 'matrix']",leetcode,
"['array', 'binary-search', 'dynamic-programming', 'sorting', 'heap-priority-queue']",1,"['array', 'binary-search', 'dynamic-programming', 'sorting', 'heap-priority-queue']","['array', 'binary-search', 'dynamic-programming', 'sorting', 'heap-priority-queue']",leetcode,
"['tree', 'breadth-first-search', 'sorting', 'binary-tree']",1,"['tree', 'breadth-first-search', 'sorting', 'binary-tree']","['tree', 'breadth-first-search', 'sorting', 'binary-tree']",leetcode,
"['array', 'breadth-first-search']",1,"['array', 'breadth-first-search']","['array', 'breadth-first-search']",leetcode,
"['array', 'string', 'backtracking', 'simulation']",1,"['array', 'string', 'backtracking', 'simulation']","['array', 'string', 'backtracking', 'simulation']",leetcode,
"['array', 'string', 'binary-search', 'prefix-sum']",1,"['array', 'string', 'binary-search', 'prefix-sum']","['array', 'string', 'binary-search', 'prefix-sum']",leetcode,
"['array', 'string', 'counting']",1,"['array', 'string', 'counting']","['array', 'string', 'counting']",leetcode,
"['array', 'hash-table', 'bit-manipulation', 'prefix-sum']",1,"['array', 'hash-table', 'bit-manipulation', 'prefix-sum']","['array', 'hash-table', 'bit-manipulation', 'prefix-sum']",leetcode,
"['array', 'binary-search', 'stack', 'greedy', 'sorting']",1,"['array', 'binary-search', 'stack', 'greedy', 'sorting']","['array', 'binary-search', 'stack', 'greedy', 'sorting']",leetcode,
"['array', 'hash-table', 'dynamic-programming', 'tree', 'depth-first-search']",1,"['array', 'hash-table', 'dynamic-programming', 'tree', 'depth-first-search']","['array', 'hash-table', 'dynamic-programming', 'tree', 'depth-first-search']",leetcode,
"['array', 'hash-table', 'string', 'design', 'sorting']",1,"['array', 'hash-table', 'string', 'design', 'sorting']","['array', 'hash-table', 'string', 'design', 'sorting']",leetcode,
"['string', 'dynamic-programming', 'simulation']",1,"['string', 'dynamic-programming', 'simulation']","['string', 'dynamic-programming', 'simulation']",leetcode,
"['array', 'union-find', 'prefix-sum', 'ordered-set']",1,"['array', 'union-find', 'prefix-sum', 'ordered-set']","['array', 'union-find', 'prefix-sum', 'ordered-set']",leetcode,
"['array', 'hash-table', 'math', 'dynamic-programming', 'backtracking', 'sorting', 'combinatorics']",1,"['array', 'hash-table', 'math', 'dynamic-programming', 'backtracking', 'sorting', 'combinatorics']","['array', 'hash-table', 'math', 'dynamic-programming', 'backtracking', 'sorting', 'combinatorics']",leetcode,
"['array', 'math', 'binary-search', 'greedy', 'number-theory']",1,"['array', 'math', 'binary-search', 'greedy', 'number-theory']","['array', 'math', 'binary-search', 'greedy', 'number-theory']",leetcode,
"['array', 'dynamic-programming', 'graph', 'topological-sort']",1,"['array', 'dynamic-programming', 'graph', 'topological-sort']","['array', 'dynamic-programming', 'graph', 'topological-sort']",leetcode,
"['array', 'backtracking', 'graph']",1,"['array', 'backtracking', 'graph']","['array', 'backtracking', 'graph']",leetcode,
"['array', 'string', 'dynamic-programming', 'greedy', 'union-find', 'matrix']",1,"['array', 'string', 'dynamic-programming', 'greedy', 'union-find', 'matrix']","['array', 'string', 'dynamic-programming', 'greedy', 'union-find', 'matrix']",leetcode,
"['array', 'hash-table', 'greedy', 'sort']",1,"['array', 'hash-table', 'greedy', 'sort']","['array', 'hash-table', 'greedy', 'sort']",leetcode,
"['math', 'two-pointers', 'brainteaser']",1,"['math', 'two-pointers', 'brainteaser']","['math', 'two-pointers', 'brainteaser']",leetcode,
"['design', 'heap-priority-queue', 'data-stream', 'ordered-set']",1,"['design', 'heap-priority-queue', 'data-stream', 'ordered-set']","['design', 'heap-priority-queue', 'data-stream', 'ordered-set']",leetcode,
"['array', 'math', 'depth-first-search', 'breadth-first-search', 'graph', 'geometry']",1,"['array', 'math', 'depth-first-search', 'breadth-first-search', 'graph', 'geometry']","['array', 'math', 'depth-first-search', 'breadth-first-search', 'graph', 'geometry']",leetcode,
"['array', 'backtracking', 'bit-manipulation', 'matrix', 'enumeration']",1,"['array', 'backtracking', 'bit-manipulation', 'matrix', 'enumeration']","['array', 'backtracking', 'bit-manipulation', 'matrix', 'enumeration']",leetcode,
"['array', 'hash-table', 'math', 'stack', 'sliding-window']",1,"['array', 'hash-table', 'math', 'stack', 'sliding-window']","['array', 'hash-table', 'math', 'stack', 'sliding-window']",leetcode,
"['depth-first-search', 'breadth-first-search', 'union-find', 'graph', 'sorting']",1,"['depth-first-search', 'breadth-first-search', 'union-find', 'graph', 'sorting']","['depth-first-search', 'breadth-first-search', 'union-find', 'graph', 'sorting']",leetcode,
"['array', 'hash-table', 'string', 'bit-manipulation']",1,"['array', 'hash-table', 'string', 'bit-manipulation']","['array', 'hash-table', 'string', 'bit-manipulation']",leetcode,
"['hash-table', 'math', 'string', 'counting', 'prefix-sum']",1,"['hash-table', 'math', 'string', 'counting', 'prefix-sum']","['hash-table', 'math', 'string', 'counting', 'prefix-sum']",leetcode,
"['dynamic-programming', 'greedy', 'bit-manipulation']",1,"['dynamic-programming', 'greedy', 'bit-manipulation']","['dynamic-programming', 'greedy', 'bit-manipulation']",leetcode,
"['array', 'hash-table', 'binary-search', 'design', 'segment-tree']",1,"['array', 'hash-table', 'binary-search', 'design', 'segment-tree']","['array', 'hash-table', 'binary-search', 'design', 'segment-tree']",leetcode,
"['two-pointers', 'string', 'binary-search']",1,"['two-pointers', 'string', 'binary-search']","['two-pointers', 'string', 'binary-search']",leetcode,
"['array', 'segment-tree']",1,"['array', 'segment-tree']","['array', 'segment-tree']",leetcode,
"['array', 'two-pointers', 'binary-search', 'greedy', 'queue', 'sorting', 'monotonic-queue']",1,"['array', 'two-pointers', 'binary-search', 'greedy', 'queue', 'sorting', 'monotonic-queue']","['array', 'two-pointers', 'binary-search', 'greedy', 'queue', 'sorting', 'monotonic-queue']",leetcode,
"['design', 'simulation']",1,"['design', 'simulation']","['design', 'simulation']",leetcode,
"['string', 'backtracking', 'stack', 'greedy']",1,"['string', 'backtracking', 'stack', 'greedy']","['string', 'backtracking', 'stack', 'greedy']",leetcode,
"['array', 'hash-table', 'sorting', 'enumeration']",1,"['array', 'hash-table', 'sorting', 'enumeration']","['array', 'hash-table', 'sorting', 'enumeration']",leetcode,
"['array', 'math', 'sorting', 'heap-priority-queue', 'number-theory']",1,"['array', 'math', 'sorting', 'heap-priority-queue', 'number-theory']","['array', 'math', 'sorting', 'heap-priority-queue', 'number-theory']",leetcode,
"['array', 'hash-table', 'string', 'design', 'heap-priority-queue', 'ordered-set']",1,"['array', 'hash-table', 'string', 'design', 'heap-priority-queue', 'ordered-set']","['array', 'hash-table', 'string', 'design', 'heap-priority-queue', 'ordered-set']",leetcode,
"['hash-table', 'string', 'stack', 'greedy']",1,"['hash-table', 'string', 'stack', 'greedy']","['hash-table', 'string', 'stack', 'greedy']",leetcode,
"['math', 'dynamic-programming', 'greedy', 'enumeration']",1,"['math', 'dynamic-programming', 'greedy', 'enumeration']","['math', 'dynamic-programming', 'greedy', 'enumeration']",leetcode,
"['string', 'binary-search', 'enumeration']",1,"['string', 'binary-search', 'enumeration']","['string', 'binary-search', 'enumeration']",leetcode,
"['array', 'binary-search', 'breadth-first-search', 'matrix']",1,"['array', 'binary-search', 'breadth-first-search', 'matrix']","['array', 'binary-search', 'breadth-first-search', 'matrix']",leetcode,
"['string', 'dynamic-programming', 'greedy', 'memoization']",1,"['string', 'dynamic-programming', 'greedy', 'memoization']","['string', 'dynamic-programming', 'greedy', 'memoization']",leetcode,
"['array', 'hash-table', 'binary-search', 'sorting', 'prefix-sum', 'ordered-set']",1,"['array', 'hash-table', 'binary-search', 'sorting', 'prefix-sum', 'ordered-set']","['array', 'hash-table', 'binary-search', 'sorting', 'prefix-sum', 'ordered-set']",leetcode,
"['array', 'hash-table', 'binary-search', 'binary-indexed-tree', 'sorting']",1,"['array', 'hash-table', 'binary-search', 'binary-indexed-tree', 'sorting']","['array', 'hash-table', 'binary-search', 'binary-indexed-tree', 'sorting']",leetcode,
"['array', 'binary-search', 'tree', 'depth-first-search', 'binary-search-tree', 'binary-tree']",1,"['array', 'binary-search', 'tree', 'depth-first-search', 'binary-search-tree', 'binary-tree']","['array', 'binary-search', 'tree', 'depth-first-search', 'binary-search-tree', 'binary-tree']",leetcode,
"['array', 'hash-table', 'math', 'geometry', 'enumeration']",1,"['array', 'hash-table', 'math', 'geometry', 'enumeration']","['array', 'hash-table', 'math', 'geometry', 'enumeration']",leetcode,
"['array', 'string', 'tree', 'depth-first-search', 'graph', 'topological-sort']",1,"['array', 'string', 'tree', 'depth-first-search', 'graph', 'topological-sort']","['array', 'string', 'tree', 'depth-first-search', 'graph', 'topological-sort']",leetcode,
"['array', 'graph', 'sorting', 'enumeration']",1,"['array', 'graph', 'sorting', 'enumeration']","['array', 'graph', 'sorting', 'enumeration']",leetcode,
"['array', 'greedy', 'design']",1,"['array', 'greedy', 'design']","['array', 'greedy', 'design']",leetcode,
"['array', 'two-pointers', 'binary-search', 'greedy', 'sorting', 'enumeration', 'prefix-sum']",1,"['array', 'two-pointers', 'binary-search', 'greedy', 'sorting', 'enumeration', 'prefix-sum']","['array', 'two-pointers', 'binary-search', 'greedy', 'sorting', 'enumeration', 'prefix-sum']",leetcode,
"['sorting', 'heap-priority-queue']",1,"['sorting', 'heap-priority-queue']","['sorting', 'heap-priority-queue']",leetcode,
"['string', 'dynamic-programming', 'rolling-hash', 'string-matching', 'hash-function']",1,"['string', 'dynamic-programming', 'rolling-hash', 'string-matching', 'hash-function']","['string', 'dynamic-programming', 'rolling-hash', 'string-matching', 'hash-function']",leetcode,
"['tree', 'depth-first-search', 'graph', 'trie']",1,"['tree', 'depth-first-search', 'graph', 'trie']","['tree', 'depth-first-search', 'graph', 'trie']",leetcode,
"['array', 'tree', 'depth-first-search', 'breadth-first-search', 'graph']",1,"['array', 'tree', 'depth-first-search', 'breadth-first-search', 'graph']","['array', 'tree', 'depth-first-search', 'breadth-first-search', 'graph']",leetcode,
"['array', 'math', 'dynamic-programming', 'greedy', 'number-theory']",1,"['array', 'math', 'dynamic-programming', 'greedy', 'number-theory']","['array', 'math', 'dynamic-programming', 'greedy', 'number-theory']",leetcode,
"['math', 'prefix-sum']",1,"['math', 'prefix-sum']","['math', 'prefix-sum']",leetcode,
"['array', 'hash-table', 'trie', 'rolling-hash', 'hash-function', 'enumeration']",1,"['array', 'hash-table', 'trie', 'rolling-hash', 'hash-function', 'enumeration']","['array', 'hash-table', 'trie', 'rolling-hash', 'hash-function', 'enumeration']",leetcode,
"['linked-list', 'string', 'stack', 'design', 'simulation', 'doubly-linked-list']",1,"['linked-list', 'string', 'stack', 'design', 'simulation', 'doubly-linked-list']","['linked-list', 'string', 'stack', 'design', 'simulation', 'doubly-linked-list']",leetcode,
"['array', 'binary-search', 'stack', 'sorting', 'heap-priority-queue', 'monotonic-stack']",1,"['array', 'binary-search', 'stack', 'sorting', 'heap-priority-queue', 'monotonic-stack']","['array', 'binary-search', 'stack', 'sorting', 'heap-priority-queue', 'monotonic-stack']",leetcode,
"['binary-search', 'design', 'binary-indexed-tree', 'segment-tree']",1,"['binary-search', 'design', 'binary-indexed-tree', 'segment-tree']","['binary-search', 'design', 'binary-indexed-tree', 'segment-tree']",leetcode,
"['array', 'hash-table', 'string', 'string-matching']",1,"['array', 'hash-table', 'string', 'string-matching']","['array', 'hash-table', 'string', 'string-matching']",leetcode,
"['array', 'hash-table', 'string', 'bit-manipulation', 'enumeration']",1,"['array', 'hash-table', 'string', 'bit-manipulation', 'enumeration']","['array', 'hash-table', 'string', 'bit-manipulation', 'enumeration']",leetcode,
"['greedy', 'graph', 'sorting', 'heap-priority-queue']",1,"['greedy', 'graph', 'sorting', 'heap-priority-queue']","['greedy', 'graph', 'sorting', 'heap-priority-queue']",leetcode,
"['array', 'depth-first-search', 'union-find', 'graph']",1,"['array', 'depth-first-search', 'union-find', 'graph']","['array', 'depth-first-search', 'union-find', 'graph']",leetcode,
"['array', 'queue', 'sliding-window', 'monotonic-queue']",1,"['array', 'queue', 'sliding-window', 'monotonic-queue']","['array', 'queue', 'sliding-window', 'monotonic-queue']",leetcode,
"['array', 'math', 'tree', 'depth-first-search', 'enumeration']",1,"['array', 'math', 'tree', 'depth-first-search', 'enumeration']","['array', 'math', 'tree', 'depth-first-search', 'enumeration']",leetcode,
"['array', 'math', 'geometry', 'sorting', 'number-theory']",1,"['array', 'math', 'geometry', 'sorting', 'number-theory']","['array', 'math', 'geometry', 'sorting', 'number-theory']",leetcode,
"['array', 'two-pointers', 'heap-priority-queue', 'simulation']",1,"['array', 'two-pointers', 'heap-priority-queue', 'simulation']","['array', 'two-pointers', 'heap-priority-queue', 'simulation']",leetcode,
"['math', 'string', 'sliding-window']",1,"['math', 'string', 'sliding-window']","['math', 'string', 'sliding-window']",leetcode,
"['hash-table', 'math', 'string', 'dynamic-programming']",1,"['hash-table', 'math', 'string', 'dynamic-programming']","['hash-table', 'math', 'string', 'dynamic-programming']",leetcode,
"['hash-table', 'string', 'enumeration']",1,"['hash-table', 'string', 'enumeration']","['hash-table', 'string', 'enumeration']",leetcode,
"['dynamic-programming', 'greedy']",1,"['dynamic-programming', 'greedy']","['dynamic-programming', 'greedy']",leetcode,
"['array', 'bit-manipulation', 'tree', 'depth-first-search']",1,"['array', 'bit-manipulation', 'tree', 'depth-first-search']","['array', 'bit-manipulation', 'tree', 'depth-first-search']",leetcode,
"['greedy', 'bit-manipulation']",1,"['greedy', 'bit-manipulation']","['greedy', 'bit-manipulation']",leetcode,
"['array', 'divide-and-conquer', 'dynamic-programming', 'binary-indexed-tree', 'segment-tree', 'queue', 'monotonic-queue']",1,"['array', 'divide-and-conquer', 'dynamic-programming', 'binary-indexed-tree', 'segment-tree', 'queue', 'monotonic-queue']","['array', 'divide-and-conquer', 'dynamic-programming', 'binary-indexed-tree', 'segment-tree', 'queue', 'monotonic-queue']",leetcode,
"['array', 'two-pointers', 'breadth-first-search', 'union-find', 'sorting', 'heap-priority-queue', 'matrix']",1,"['array', 'two-pointers', 'breadth-first-search', 'union-find', 'sorting', 'heap-priority-queue', 'matrix']","['array', 'two-pointers', 'breadth-first-search', 'union-find', 'sorting', 'heap-priority-queue', 'matrix']",leetcode,
"['array', 'hash-table', 'tree', 'union-find', 'graph', 'sorting']",1,"['array', 'hash-table', 'tree', 'union-find', 'graph', 'sorting']","['array', 'hash-table', 'tree', 'union-find', 'graph', 'sorting']",leetcode,
"['linked-list', 'simulation']",1,"['linked-list', 'simulation']","['linked-list', 'simulation']",leetcode,
"['math', 'backtracking', 'greedy']",1,"['math', 'backtracking', 'greedy']","['math', 'backtracking', 'greedy']",leetcode,
"['array', 'math', 'bit-manipulation', 'brainteaser', 'prefix-sum']",1,"['array', 'math', 'bit-manipulation', 'brainteaser', 'prefix-sum']","['array', 'math', 'bit-manipulation', 'brainteaser', 'prefix-sum']",leetcode,
"['array', 'greedy', 'sorting', 'enumeration', 'prefix-sum']",1,"['array', 'greedy', 'sorting', 'enumeration', 'prefix-sum']","['array', 'greedy', 'sorting', 'enumeration', 'prefix-sum']",leetcode,
"['hash-table', 'string', 'rolling-hash', 'counting', 'hash-function']",1,"['hash-table', 'string', 'rolling-hash', 'counting', 'hash-function']","['hash-table', 'string', 'rolling-hash', 'counting', 'hash-function']",leetcode,
"['array', 'string', 'divide-and-conquer', 'sorting', 'heap-priority-queue', 'radix-sort', 'quickselect']",1,"['array', 'string', 'divide-and-conquer', 'sorting', 'heap-priority-queue', 'radix-sort', 'quickselect']","['array', 'string', 'divide-and-conquer', 'sorting', 'heap-priority-queue', 'radix-sort', 'quickselect']",leetcode,
"['math', 'binary-search', 'number-theory']",1,"['math', 'binary-search', 'number-theory']","['math', 'binary-search', 'number-theory']",leetcode,
"['array', 'string', 'trie', 'counting']",1,"['array', 'string', 'trie', 'counting']","['array', 'string', 'trie', 'counting']",leetcode,
"['array', 'dynamic-programming', 'heap-priority-queue']",1,"['array', 'dynamic-programming', 'heap-priority-queue']","['array', 'dynamic-programming', 'heap-priority-queue']",leetcode,
"['string', 'bit-manipulation', 'union-find']",1,"['string', 'bit-manipulation', 'union-find']","['string', 'bit-manipulation', 'union-find']",leetcode,
"['string', 'sliding-window', 'rolling-hash', 'hash-function']",1,"['string', 'sliding-window', 'rolling-hash', 'hash-function']","['string', 'sliding-window', 'rolling-hash', 'hash-function']",leetcode,
"['hash-table', 'string', 'bit-manipulation', 'counting']",1,"['hash-table', 'string', 'bit-manipulation', 'counting']","['hash-table', 'string', 'bit-manipulation', 'counting']",leetcode,
"['array', 'binary-search', 'bit-manipulation', 'sliding-window']",1,"['array', 'binary-search', 'bit-manipulation', 'sliding-window']","['array', 'binary-search', 'bit-manipulation', 'sliding-window']",leetcode,
"['array', 'hash-table', 'math', 'dynamic-programming', 'backtracking', 'bit-manipulation', 'geometry', 'bitmask']",1,"['array', 'hash-table', 'math', 'dynamic-programming', 'backtracking', 'bit-manipulation', 'geometry', 'bitmask']","['array', 'hash-table', 'math', 'dynamic-programming', 'backtracking', 'bit-manipulation', 'geometry', 'bitmask']",leetcode,
"['hash-table', 'string', 'greedy', 'heap-priority-queue', 'counting']",1,"['hash-table', 'string', 'greedy', 'heap-priority-queue', 'counting']","['hash-table', 'string', 'greedy', 'heap-priority-queue', 'counting']",leetcode,
"['math', 'dynamic-programming', 'combinatorics', 'number-theory']",1,"['math', 'dynamic-programming', 'combinatorics', 'number-theory']","['math', 'dynamic-programming', 'combinatorics', 'number-theory']",leetcode,
"['string', 'binary-search', 'rolling-hash', 'suffix-array', 'string-matching', 'hash-function']",1,"['string', 'binary-search', 'rolling-hash', 'suffix-array', 'string-matching', 'hash-function']","['string', 'binary-search', 'rolling-hash', 'suffix-array', 'string-matching', 'hash-function']",leetcode,
"['two-pointers', 'string', 'greedy', 'binary-indexed-tree']",1,"['two-pointers', 'string', 'greedy', 'binary-indexed-tree']","['two-pointers', 'string', 'greedy', 'binary-indexed-tree']",leetcode,
"['array', 'math', 'simulation', 'combinatorics']",1,"['array', 'math', 'simulation', 'combinatorics']","['array', 'math', 'simulation', 'combinatorics']",leetcode,
"['linked-list', 'stack', 'recursion', 'monotonic-stack']",1,"['linked-list', 'stack', 'recursion', 'monotonic-stack']","['linked-list', 'stack', 'recursion', 'monotonic-stack']",leetcode,
"['array', 'linked-list', 'matrix', 'simulation']",1,"['array', 'linked-list', 'matrix', 'simulation']","['array', 'linked-list', 'matrix', 'simulation']",leetcode,
"['hash-table', 'binary-search', 'union-find', 'design', 'binary-indexed-tree', 'segment-tree', 'heap-priority-queue', 'ordered-set']",1,"['hash-table', 'binary-search', 'union-find', 'design', 'binary-indexed-tree', 'segment-tree', 'heap-priority-queue', 'ordered-set']","['hash-table', 'binary-search', 'union-find', 'design', 'binary-indexed-tree', 'segment-tree', 'heap-priority-queue', 'ordered-set']",leetcode,
"['array', 'stack', 'greedy']",1,"['array', 'stack', 'greedy']","['array', 'stack', 'greedy']",leetcode,
"['dynamic-programming', 'queue', 'simulation']",1,"['dynamic-programming', 'queue', 'simulation']","['dynamic-programming', 'queue', 'simulation']",leetcode,
"['hash-table', 'math', 'string', 'prefix-sum']",1,"['hash-table', 'math', 'string', 'prefix-sum']","['hash-table', 'math', 'string', 'prefix-sum']",leetcode,
"['array', 'binary-search', 'greedy', 'sorting', 'heap-priority-queue']",1,"['array', 'binary-search', 'greedy', 'sorting', 'heap-priority-queue']","['array', 'binary-search', 'greedy', 'sorting', 'heap-priority-queue']",leetcode,
"['array', 'string', 'segment-tree', 'ordered-set']",1,"['array', 'string', 'segment-tree', 'ordered-set']","['array', 'string', 'segment-tree', 'ordered-set']",leetcode,
"['array', 'greedy', 'graph', 'sorting', 'heap-priority-queue']",1,"['array', 'greedy', 'graph', 'sorting', 'heap-priority-queue']","['array', 'greedy', 'graph', 'sorting', 'heap-priority-queue']",leetcode,
"['string', 'greedy', 'prefix-sum']",1,"['string', 'greedy', 'prefix-sum']","['string', 'greedy', 'prefix-sum']",leetcode,
"['array', 'stack', 'union-find', 'monotonic-stack']",1,"['array', 'stack', 'union-find', 'monotonic-stack']","['array', 'stack', 'union-find', 'monotonic-stack']",leetcode,
"['graph', 'shortest-path']",1,"['graph', 'shortest-path']","['graph', 'shortest-path']",leetcode,
"['array', 'math', 'stack', 'number-theory']",1,"['array', 'math', 'stack', 'number-theory']","['array', 'math', 'stack', 'number-theory']",leetcode,
"['array', 'hash-table', 'tree', 'binary-tree']",1,"['array', 'hash-table', 'tree', 'binary-tree']","['array', 'hash-table', 'tree', 'binary-tree']",leetcode,
"['array', 'tree', 'graph', 'topological-sort']",1,"['array', 'tree', 'graph', 'topological-sort']","['array', 'tree', 'graph', 'topological-sort']",leetcode,
"['array', 'hash-table', 'math', 'matrix', 'counting', 'enumeration', 'number-theory']",1,"['array', 'hash-table', 'math', 'matrix', 'counting', 'enumeration', 'number-theory']","['array', 'hash-table', 'math', 'matrix', 'counting', 'enumeration', 'number-theory']",leetcode,
"['array', 'hash-table', 'string', 'dynamic-programming']",1,"['array', 'hash-table', 'string', 'dynamic-programming']","['array', 'hash-table', 'string', 'dynamic-programming']",leetcode,
"['array', 'hash-table', 'recursion', 'enumeration']",1,"['array', 'hash-table', 'recursion', 'enumeration']","['array', 'hash-table', 'recursion', 'enumeration']",leetcode,
"['string', 'sliding-window', 'enumeration', 'prefix-sum']",1,"['string', 'sliding-window', 'enumeration', 'prefix-sum']","['string', 'sliding-window', 'enumeration', 'prefix-sum']",leetcode,
"['array', 'binary-search', 'segment-tree', 'line-sweep']",1,"['array', 'binary-search', 'segment-tree', 'line-sweep']","['array', 'binary-search', 'segment-tree', 'line-sweep']",leetcode,
"['two-pointers', 'string', 'binary-search', 'string-matching']",1,"['two-pointers', 'string', 'binary-search', 'string-matching']","['two-pointers', 'string', 'binary-search', 'string-matching']",leetcode,
"['hash-table', 'string', 'dynamic-programming', 'greedy', 'sorting']",1,"['hash-table', 'string', 'dynamic-programming', 'greedy', 'sorting']","['hash-table', 'string', 'dynamic-programming', 'greedy', 'sorting']",leetcode,
"['array', 'dynamic-programming', 'memoization', 'matrix']",1,"['array', 'dynamic-programming', 'memoization', 'matrix']","['array', 'dynamic-programming', 'memoization', 'matrix']",leetcode,
"['math', 'string', 'simulation', 'combinatorics', 'number-theory']",1,"['math', 'string', 'simulation', 'combinatorics', 'number-theory']","['math', 'string', 'simulation', 'combinatorics', 'number-theory']",leetcode,
"['math', 'string', 'combinatorics', 'number-theory']",1,"['math', 'string', 'combinatorics', 'number-theory']","['math', 'string', 'combinatorics', 'number-theory']",leetcode,
"['array', 'math', 'combinatorics', 'enumeration']",1,"['array', 'math', 'combinatorics', 'enumeration']","['array', 'math', 'combinatorics', 'enumeration']",leetcode,
"['string', 'greedy', 'string-matching']",1,"['string', 'greedy', 'string-matching']","['string', 'greedy', 'string-matching']",leetcode,
"['array', 'binary-search', 'segment-tree', 'simulation', 'ordered-set']",1,"['array', 'binary-search', 'segment-tree', 'simulation', 'ordered-set']","['array', 'binary-search', 'segment-tree', 'simulation', 'ordered-set']",leetcode,
"['array', 'binary-search', 'segment-tree', 'ordered-set']",1,"['array', 'binary-search', 'segment-tree', 'ordered-set']","['array', 'binary-search', 'segment-tree', 'ordered-set']",leetcode,
"['array', 'segment-tree', 'enumeration', 'prefix-sum']",1,"['array', 'segment-tree', 'enumeration', 'prefix-sum']","['array', 'segment-tree', 'enumeration', 'prefix-sum']",leetcode,
"['array', 'hash-table', 'string', 'depth-first-search', 'breadth-first-search', 'graph', 'topological-sort']",1,"['array', 'hash-table', 'string', 'depth-first-search', 'breadth-first-search', 'graph', 'topological-sort']","['array', 'hash-table', 'string', 'depth-first-search', 'breadth-first-search', 'graph', 'topological-sort']",leetcode,
"['array', 'hash-table', 'string', 'design', 'matrix']",1,"['array', 'hash-table', 'string', 'design', 'matrix']","['array', 'hash-table', 'string', 'design', 'matrix']",leetcode,
"['hash-table', 'math', 'string', 'counting']",1,"['hash-table', 'math', 'string', 'counting']","['hash-table', 'math', 'string', 'counting']",leetcode,
"['array', 'hash-table', 'binary-search']",1,"['array', 'hash-table', 'binary-search']","['array', 'hash-table', 'binary-search']",leetcode,
"['array', 'string', 'binary-search', 'segment-tree']",1,"['array', 'string', 'binary-search', 'segment-tree']","['array', 'string', 'binary-search', 'segment-tree']",leetcode,
"['two-pointers', 'string', 'dynamic-programming', 'enumeration']",1,"['two-pointers', 'string', 'dynamic-programming', 'enumeration']","['two-pointers', 'string', 'dynamic-programming', 'enumeration']",leetcode,
"['array', 'hash-table', 'math', 'dynamic-programming', 'sliding-window', 'heap-priority-queue']",1,"['array', 'hash-table', 'math', 'dynamic-programming', 'sliding-window', 'heap-priority-queue']","['array', 'hash-table', 'math', 'dynamic-programming', 'sliding-window', 'heap-priority-queue']",leetcode,
"['array', 'hash-table', 'binary-search', 'design', 'queue', 'ordered-set']",1,"['array', 'hash-table', 'binary-search', 'design', 'queue', 'ordered-set']","['array', 'hash-table', 'binary-search', 'design', 'queue', 'ordered-set']",leetcode,
"['array', 'greedy', 'prefix-sum']",1,"['array', 'greedy', 'prefix-sum']","['array', 'greedy', 'prefix-sum']",leetcode,
"['array', 'math', 'bit-manipulation', 'enumeration']",1,"['array', 'math', 'bit-manipulation', 'enumeration']","['array', 'math', 'bit-manipulation', 'enumeration']",leetcode,
"['array', 'tree', 'depth-first-search', 'binary-indexed-tree', 'segment-tree']",1,"['array', 'tree', 'depth-first-search', 'binary-indexed-tree', 'segment-tree']","['array', 'tree', 'depth-first-search', 'binary-indexed-tree', 'segment-tree']",leetcode,
"['string', 'sorting', 'counting-sort']",1,"['string', 'sorting', 'counting-sort']","['string', 'sorting', 'counting-sort']",leetcode,
"['array', 'math', 'segment-tree']",1,"['array', 'math', 'segment-tree']","['array', 'math', 'segment-tree']",leetcode,
"['array', 'string', 'rolling-hash', 'string-matching', 'matrix', 'hash-function']",1,"['array', 'string', 'rolling-hash', 'string-matching', 'matrix', 'hash-function']","['array', 'string', 'rolling-hash', 'string-matching', 'matrix', 'hash-function']",leetcode,
"['array', 'dynamic-programming', 'bit-manipulation', 'graph', 'topological-sort', 'bitmask']",1,"['array', 'dynamic-programming', 'bit-manipulation', 'graph', 'topological-sort', 'bitmask']","['array', 'dynamic-programming', 'bit-manipulation', 'graph', 'topological-sort', 'bitmask']",leetcode,
"['array', 'hash-table', 'binary-search', 'union-find', 'graph']",1,"['array', 'hash-table', 'binary-search', 'union-find', 'graph']","['array', 'hash-table', 'binary-search', 'union-find', 'graph']",leetcode,
